activity,Uppm,adjwt,basement,floor,pcterr,region,room,typebldg,wave,area,days,month
1.6,2.49759,292.21954,N,1,12.7,2,2,1,92,ALLEN               IN,2,01/1989
0.5,2.66527,364.9583,N,1,0.0,2,2,1,56,YAVAPAI             AZ,2,02/1988
3.0,2.43343,626.5646,Y,0,9.7,6,2,1,23,MIDDLESEX           MA,2,03/1988
0.6,2.43343,570.61176,N,1,27.6,6,3,1,62,MIDDLESEX           MA,2,03/1988
1.2,2.10811,426.79886,Y,0,23.5,1,4,1,91,JACKSON             MO,2,03/1988
2.8,2.61898,322.1076,Y,0,11.0,4,4,1,111,BUTLER              PA,4,02/1989
1.5,2.14045,211.50511,N,3,23.3,4,0,0,8,SCOTT               IN,2,12/1988
2.6,1.69837,329.47784,Y,0,10.1,1,4,1,56,PORTER              IN,2,03/1988
6.0,1.31208,990.41156,Y,0,5.6,4,7,1,47,BLUE EARTH          MN,0,02/1988
2.8,2.10811,438.80835,Unknown,0,13.1,1,0,0,72,JACKSON             MO,2,02/1988
4.5,1.54905,213.76418,Y,0,7.8,5,7,1,67,BURLEIGH            ND,2,03/1988
2.5,2.1283,710.8264,Y,0,11.1,6,0,1,35,ERIE                PA,2,03/1988
10.8,2.43343,559.8317,Y,0,4.5,6,4,1,67,MIDDLESEX           MA,0,04/1988
0.4,1.66392,443.8437,N,1,0.0,3,3,1,45,MORGAN              MO,2,01/1988
5.9,1.25606,213.76418,Y,0,5.0,6,4,1,84,DICKEY              ND,7,03/1988
1.3,2.13598,481.44348,N,1,18.9,4,3,1,67,MONROE              IN,2,03/1988
0.0,3.11518,364.80402,Unknown,9,0.0,3,0,0,32,MARICOPA            AZ,0,12/1987
0.3,0.421763,8.313953,N,1,0.0,1,1,5,-1,SAULT ST. MARIE     MI,8,03/1988
0.2,3.11518,359.16406,N,1,0.0,3,1,1,116,MARICOPA            AZ,2,06/1988
2.9,3.28,993.15466,Unknown,0,9.4,10,0,0,69,PHILADELPHIA        PA,0,12/1988
0.9,0.0,596.0751,Y,0,22.1,1,4,1,3,BARNSTABLE          MA,2,03/1988
3.2,3.28,1060.5416,Y,0,13.7,10,4,1,59,PHILADELPHIA        PA,2,11/1988
2.2,1.14684,106.26117,N,1,10.5,3,2,1,33,MCHENRY             ND,2,02/1988
1.8,2.49759,303.79205,Y,0,12.8,2,2,1,67,ALLEN               IN,2,03/1988
2.7,2.43343,579.39685,Y,0,9.9,6,4,2,28,MIDDLESEX           MA,2,03/1988
0.3,3.11518,378.24384,N,1,0.0,3,1,1,113,MARICOPA            AZ,2,06/1988
2.8,1.54905,193.5074,Y,0,10.6,5,7,1,66,BURLEIGH            ND,0,03/1988
12.0,1.62023,106.26117,Y,0,4.0,4,2,1,87,GRAND FORKS         ND,2,03/1988
1.6,2.20395,1020.6714,N,1,14.8,3,3,1,59,WAYNE               IN,7,03/1988
12.2,0.862876,461.62366,Y,0,2.9,3,4,1,31,WASHINGTON          MN,2,12/1987
6.4,1.72085,426.79886,Y,0,5.3,4,4,1,4,FRANKLIN            MO,8,03/1988
1.4,2.56866,1065.3071,Y,0,17.0,9,4,1,103,ALLEGHENY           PA,1,02/1989
0.8,0.622088,433.3167,Y,0,23.1,1,4,1,28,ST LOUIS            MN,2,12/1987
1.1,2.95083,2133.4246,N,0,21.8,1,2,1,53,BUCKS               PA,2,11/1988
3.4,1.66622,884.216,Y,0,9.6,4,7,1,62,ST LOUIS CITY       MO,0,02/1988
2.2,1.42956,628.9107,Y,0,12.1,10,4,1,25,PLYMOUTH            MA,2,03/1988
1.3,0.421763,8.313953,Y,0,51.1,1,4,1,-1,SAULT ST. MARIE     MI,2,03/1988
2.6,1.72085,426.79886,N,1,13.9,4,1,1,54,FRANKLIN            MO,9,02/1988
15.8,2.67972,1122.8802,Y,0,3.0,2,4,1,120,LANCASTER           PA,2,02/1989
3.3,0.622088,471.3662,Y,0,7.6,1,5,1,35,ST LOUIS            MN,0,01/1988
1.8,3.11518,364.80402,N,1,16.7,3,3,1,58,MARICOPA            AZ,2,03/1988
20.0,2.49651,1060.5416,Y,0,2.6,2,4,1,97,YORK                PA,0,02/1989
1.4,0.810536,6.461538,N,1,21.4,2,3,1,-1,MILLIE LACS         MN,1,02/1988
0.1,3.39032,364.9583,N,1,0.0,3,1,1,114,YUMA                AZ,2,06/1988
1.2,1.84293,896.2607,Y,1,19.7,5,3,1,82,GREENE              MO,2,02/1988
1.3,3.11518,359.16406,N,1,19.5,3,2,1,58,MARICOPA            AZ,0,03/1988
0.2,1.63466,443.8437,N,1,0.0,3,1,1,81,PULASKI             MO,2,02/1988
5.1,1.25606,199.79611,Y,1,5.4,6,3,1,58,DICKEY              ND,8,03/1988
0.6,2.06239,173.52339,Unknown,9,33.0,4,0,0,3,CLARK               IN,0,12/1988
1.8,1.67647,102.850044,Unknown,0,16.5,4,0,0,4,TRAILL              ND,2,03/1988
2.8,0.622088,4.746411,Y,0,9.7,2,4,1,-1,BOIS FORTE          MN,1,03/1988
0.8,3.11518,364.9583,N,1,26.3,3,2,2,58,MARICOPA            AZ,2,02/1988
3.1,2.10811,426.79886,Y,0,10.9,1,0,1,66,JACKSON             MO,4,02/1988
0.9,2.49651,1060.5416,Y,0,35.2,2,4,1,78,YORK                PA,2,01/1989
2.2,2.04101,641.183,Unknown,0,27.1,8,2,1,34,NORFOLK             MA,1,03/1988
2.8,2.99494,993.15466,Y,1,6.8,3,3,1,26,COLUMBIA            PA,4,02/1988
2.5,1.57138,443.8437,Y,0,9.9,3,4,1,66,CAMDEN              MO,2,02/1988
2.0,2.43343,626.5646,Unknown,9,12.6,6,0,0,6,MIDDLESEX           MA,4,03/1988
8.3,1.54905,199.79611,Y,0,4.0,5,7,1,49,BURLEIGH            ND,3,02/1988
19.4,2.12421,438.80835,Y,0,2.3,1,7,1,38,PLATTE              MO,2,01/1988
2.9,0.530789,485.43594,Y,0,9.2,2,4,1,40,CROW WING           MN,2,01/1988
9.0,1.30385,288.8893,Y,0,4.7,1,4,1,22,LA PORTE            IN,0,12/1987
13.9,1.34533,62.80399,Y,0,3.6,6,0,1,57,NELSON              ND,0,03/1988
0.7,1.96648,223.91988,Y,1,27.7,1,2,1,84,CASS                MO,2,02/1988
34.3,2.37618,1060.5416,Y,0,1.8,5,7,1,108,WESTMORELAND        PA,2,02/1989
4.1,1.90071,1122.8802,Y,0,7.4,5,4,1,36,SOMERSET            PA,2,03/1988
1.5,2.10811,426.79886,Y,0,11.1,1,2,1,45,JACKSON             MO,2,01/1988
26.6,1.41027,1024.4429,Y,0,2.5,2,4,1,28,CLAY                MN,2,12/1987
1.3,2.49759,294.1031,Y,0,21.5,2,7,1,6,ALLEN               IN,2,12/1988
0.2,2.99849,378.24384,N,1,0.0,3,1,5,100,PINAL               AZ,2,06/1988
0.6,2.13755,223.91988,N,1,34.3,5,3,1,71,HENRY               MO,1,02/1988
5.9,1.77863,56.84945,Y,0,4.3,1,2,1,9,MORTON              ND,6,03/1988
1.6,2.5116,579.39685,Y,0,12.9,5,4,1,25,WORCESTER           MA,2,03/1988
1.5,2.49651,1065.3071,N,0,20.6,2,7,1,116,YORK                PA,2,03/1989
11.0,1.16627,475.38745,Y,0,3.8,2,2,1,46,LAGRANGE            IN,2,02/1988
1.7,1.71837,1065.3071,Y,0,12.0,3,4,1,112,JUNIATA             PA,3,02/1989
3.9,0.910987,893.2374,Y,0,12.9,2,1,1,48,MORRISON            MN,0,02/1988
1.3,3.11518,363.43207,N,1,15.8,3,3,1,112,MARICOPA            AZ,2,06/1988
2.6,2.39476,1020.6714,Y,0,9.4,3,4,1,56,JAY                 IN,2,03/1988
13.3,1.77863,55.90113,Y,0,3.5,1,2,2,61,MORTON              ND,2,03/1988
3.8,0.552472,7.4265,Y,0,8.3,2,4,1,-1,LEECH LAKE          MN,2,02/1988
6.4,1.62023,110.44374,Y,0,4.8,4,7,1,49,GRAND FORKS         ND,2,02/1988
1.8,1.65751,213.76418,N,1,37.7,5,7,1,61,WILLIAMS            ND,0,03/1988
1.1,1.79318,475.38745,N,1,25.4,1,1,1,44,LAKE                IN,9,02/1988
1.9,2.63999,550.75684,Y,0,10.9,8,4,1,110,LACKAWANNA          PA,4,02/1989
2.7,2.28582,993.15466,Y,0,10.0,5,4,1,63,CAMBRIA             PA,2,11/1988
7.0,1.82664,597.85675,Y,0,5.6,2,4,1,72,HAMPSHIRE           MA,2,03/1988
1.8,2.30591,1020.6714,Y,0,12.8,3,4,1,27,HOWARD              IN,0,01/1988
